WNV_Present,Trap_type_CDC,Trap_type_GRAVID,Trap_type_SENTINEL,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_SALINARIUS,Species_CULEX_TERRITANS,Year,Week,Month,Lat,Lon,Mosquito_number
0,0,1,0,0,1,0,0,2007,21,5,41.67703235,-87.64446508,1
0,0,1,0,0,1,0,0,2007,21,5,41.89613109,-87.65676212,1
0,0,1,0,0,1,0,0,2007,21,5,41.86691518,-87.65491884,2
0,0,1,0,0,1,0,0,2007,21,5,41.90933996,-87.76107828,1
0,0,1,0,0,1,0,0,2007,21,5,41.92170457,-87.66696324,2
0,0,1,0,0,1,0,0,2007,21,5,41.7212875,-87.6652357,3
0,0,1,0,0,1,0,0,2007,21,5,41.92251238,-87.63237767,3
0,0,1,0,0,1,0,0,2007,21,5,41.68819285,-87.67687311,1
0,1,0,0,0,1,0,0,2007,21,5,41.89221998,-87.69169773,1
0,1,0,0,1,0,0,0,2007,21,5,41.73242806,-87.63105648,1
0,1,0,0,0,1,0,0,2007,21,5,41.73242806,-87.63105648,5
0,0,1,0,0,1,0,0,2007,21,5,41.95629886,-87.79751745,1
0,0,1,0,0,1,0,0,2007,21,5,41.89151302,-87.60978482,2
0,1,0,0,0,1,0,0,2007,21,5,41.99549242,-87.76960895,1
0,0,1,0,0,1,0,0,2007,21,5,41.97418287,-87.82524093,4
0,0,1,0,0,1,0,0,2007,21,5,41.73144686,-87.64972225,1
0,0,1,0,0,1,0,0,2007,22,6,41.70433842,-87.65708427,1
0,0,1,0,0,1,0,0,2007,22,6,41.67688732,-87.66122193,7
0,0,1,0,0,1,0,0,2007,22,6,41.89613109,-87.65676212,2
0,0,1,0,1,0,0,0,2007,22,6,41.86691518,-87.65491884,2
0,0,1,0,0,1,0,0,2007,22,6,41.86691518,-87.65491884,1
0,0,1,0,0,1,0,0,2007,22,6,41.90728487,-87.70139464,3
0,0,1,0,0,1,0,0,2007,22,6,41.90933996,-87.76107828,3
0,0,1,0,1,0,0,0,2007,22,6,41.92170457,-87.66696324,1
0,0,1,0,0,1,0,0,2007,22,6,41.92170457,-87.66696324,2
0,0,1,0,0,1,0,0,2007,22,6,42.00659786,-87.67786621,2
0,0,1,0,0,1,0,0,2007,22,6,41.92041216,-87.75249947,1
0,0,1,0,0,1,0,0,2007,22,6,41.91987894,-87.69490182,1
0,0,1,0,0,1,0,0,2007,22,6,41.92251238,-87.63237767,3
0,0,1,0,0,1,0,0,2007,22,6,41.68819285,-87.67687311,4
0,0,1,0,0,1,0,0,2007,22,6,41.8457154,-87.7158986,1
0,1,0,0,0,1,0,0,2007,22,6,41.89221998,-87.69169773,1
0,0,1,0,0,1,0,0,2007,22,6,41.93279021,-87.70023788,1
0,1,0,0,1,0,0,0,2007,22,6,41.73242806,-87.63105648,1
0,1,0,0,0,1,0,0,2007,22,6,41.73242806,-87.63105648,1
0,0,1,0,0,1,0,0,2007,22,6,41.6821804,-87.71009165,8
0,0,1,0,0,1,0,0,2007,22,6,41.94596109,-87.83294247,1
0,0,1,0,0,1,0,0,2007,22,6,41.94850006,-87.73055319,1
0,0,1,0,0,1,0,0,2007,22,6,41.95166715,-87.69802789,1
0,0,1,0,0,1,0,0,2007,22,6,41.95354012,-87.77693904,3
0,0,1,0,1,0,0,0,2007,22,6,41.95629886,-87.79751745,1
0,0,1,0,0,1,0,0,2007,22,6,41.95629886,-87.79751745,5
0,0,1,0,0,1,0,0,2007,22,6,41.95800553,-87.70218108,2
0,0,1,0,0,1,0,0,2007,22,6,41.96144050852612,-87.66955066250219,3
0,0,1,0,0,1,0,0,2007,22,6,41.96440545,-87.69137039,1
0,0,1,0,0,1,0,0,2007,22,6,41.97904992,-87.75177397,1
0,1,0,0,1,0,0,0,2007,22,6,41.663756686541326,-87.63377020262799,1
